ds,y
11/22/2016,191.1699982
11/23/2016,193.1399994
11/25/2016,196.6499939
11/28/2016,196.1199951
11/29/2016,189.5700073
11/30/2016,189.3999939
12/1/2016,181.8800049
12/2/2016,181.4700012
12/5/2016,186.8000031
12/6/2016,185.8500061
12/7/2016,193.1499939
12/8/2016,192.2899933
12/9/2016,192.1799927
12/12/2016,192.4299927
12/13/2016,198.1499939
12/14/2016,198.6900024
12/15/2016,197.5800018
12/16/2016,202.4900055
12/19/2016,202.7299957
12/20/2016,208.7899933
12/21/2016,207.6999969
12/22/2016,208.4499969
12/23/2016,213.3399963
12/27/2016,219.5299988
12/28/2016,219.7400055
12/29/2016,214.6799927
12/30/2016,213.6900024
1/3/2017,216.9900055
1/4/2017,226.9900055
1/5/2017,226.75
1/6/2017,229.0099945
1/9/2017,231.2799988
1/10/2017,229.8699951
1/11/2017,229.7299957
1/12/2017,229.5899963
1/13/2017,237.75
1/17/2017,235.5800018
1/18/2017,238.3600006
1/19/2017,243.7599945
1/20/2017,244.7299957
1/23/2017,248.9199982
1/24/2017,254.6100006
1/25/2017,254.4700012
1/26/2017,252.5099945
1/27/2017,252.9499969
1/30/2017,250.6300049
1/31/2017,251.9299927
2/1/2017,249.2400055
2/2/2017,251.5500031
2/3/2017,251.3300018
2/6/2017,257.769989
2/7/2017,257.480011
2/8/2017,262.0799866
2/9/2017,269.2000122
2/10/2017,269.230011
2/13/2017,280.6000061
2/14/2017,280.980011
2/15/2017,279.7600098
2/16/2017,268.9500122
2/17/2017,272.230011
2/21/2017,277.3900146
2/22/2017,273.5100098
2/23/2017,255.9900055
2/24/2017,257
2/27/2017,246.2299957
2/28/2017,249.9900055
3/1/2017,250.0200043
3/2/2017,250.4799957
3/3/2017,251.5700073
3/6/2017,251.2100067
3/7/2017,248.5899963
3/8/2017,246.8699951
3/9/2017,244.8999939
3/10/2017,243.6900024
3/13/2017,246.1699982
3/14/2017,258
3/15/2017,255.7299957
3/16/2017,262.0499878
3/17/2017,261.5
3/20/2017,261.9200134
3/21/2017,250.6799927
3/22/2017,255.0099945
3/23/2017,254.7799988
3/24/2017,263.1600037
3/27/2017,270.2200012
3/28/2017,277.4500122
3/29/2017,277.3800049
3/30/2017,277.9200134
3/31/2017,278.2999878
4/3/2017,298.519989
4/4/2017,303.7000122
4/5/2017,295
4/6/2017,298.7000122
4/7/2017,302.5400085
4/10/2017,312.3900146
4/11/2017,308.7099915
4/12/2017,296.8399963
4/13/2017,304
4/17/2017,301.4400024
4/18/2017,300.25
4/19/2017,305.519989
4/20/2017,302.5100098
4/21/2017,305.6000061
4/24/2017,308.0299988
4/25/2017,313.7900085
4/26/2017,310.1700134
4/27/2017,308.6300049
4/28/2017,314.0700073
5/1/2017,322.8299866
5/2/2017,318.8900146
5/3/2017,311.019989
5/4/2017,295.4599915
5/5/2017,308.3500061
5/8/2017,307.1900024
5/9/2017,321.2600098
5/10/2017,325.2200012
5/11/2017,323.1000061
5/12/2017,324.8099976
5/15/2017,315.8800049
5/16/2017,317.0100098
5/17/2017,306.1099854
5/18/2017,313.0599976
5/19/2017,310.8299866
5/22/2017,310.3500061
5/23/2017,303.8599854
5/24/2017,310.2200012
5/25/2017,316.8299866
5/26/2017,325.1400146
5/30/2017,335.1000061
5/31/2017,341.0100098
6/1/2017,340.3699951
6/2/2017,339.8500061
6/5/2017,347.3200073
6/6/2017,352.8500061
